latitude,longitude,clusterid
40.763546,-73.969345,1
40.839394,-73.902374,1
40.868095,-73.90027,1
40.640263,-74.00233,2
40.727295,-73.81281,-1
40.542427,-74.14591,-1
40.883263,-73.85666,1
40.803818,-73.95398,1
40.67213,-73.876495,2
40.634594,-74.008064,2
40.85667,-73.86569,1
40.82492,-73.94894,1
40.657997,-73.93591,2
40.623985,-73.92034,2
40.658657,-73.93766,2
40.731613,-73.9545,2
40.71175,-73.9558,2
40.683266,-73.96587,2
40.67798,-73.872116,2
40.654007,-73.952156,2
40.701164,-73.75023,-1
40.591064,-74.16529,-1
40.76587,-73.98089,1
40.848625,-73.92753,1
40.611744,-74.12203,-1
40.651047,-73.86689,-1
40.70312,-73.96443,2
40.618023,-74.10136,-1
40.757683,-73.87412,3
40.55275,-74.17709,-1
40.63965,-73.95404,2
40.61354,-74.01305,-1
40.69993,-73.96188,2
40.79748,-73.94879,1
40.701588,-73.7544,-1
40.662178,-73.85025,-1
40.86351,-73.833115,-1
40.679516,-73.91109,2
40.742188,-73.91891,3
40.687454,-73.833405,5
40.757107,-73.910576,3
40.712986,-74.00869,1
40.685513,-73.84162,5
40.743767,-73.9959,1
40.66725,-73.99455,2
40.679054,-73.76184,-1
40.62318,-73.98611,2
40.63041,-73.958176,2
40.68092,-73.86953,2
40.70647,-73.90396,2
40.88566,-73.83125,1
40.707684,-73.92886,2
40.67474,-73.888954,2
40.872555,-73.85132,1
40.84211,-73.82557,-1
40.737537,-73.929955,3
40.701084,-73.9348,2
40.771782,-73.96333,1
40.59599,-73.9403,-1
40.90686,-73.904106,-1
40.758545,-73.833145,3
40.772755,-73.93282,3
40.825817,-73.95302,1
40.811295,-73.940056,1
40.68177,-73.93703,2
40.671642,-73.96258,2
40.820473,-73.9013,1
40.731716,-73.825615,-1
40.833893,-73.89901,1
40.750732,-73.87312,3
40.71264,-73.98501,1
40.82699,-73.904625,1
40.826527,-73.857925,1
40.88651,-73.86558,1
40.67155,-73.89825,2
40.67418,-73.85114,-1
40.68366,-73.90788,2
40.80435,-73.95732,1
40.628777,-73.96993,2
40.655132,-73.87471,2
40.778664,-73.90946,3
40.597588,-74.07697,-1
40.827244,-73.89192,1
40.69024,-73.99437,2
40.5833,-73.96133,2
40.694916,-73.83221,5
40.716164,-73.977715,1
40.669785,-73.9858,2
40.687317,-74.00006,2
40.81632,-73.95784,1
40.69826,-73.77745,-1
40.554142,-74.17635,-1
40.647747,-73.8925,2
40.813797,-73.94987,1
40.572063,-74.09265,-1
40.71592,-73.986595,1
40.638878,-74.00605,2
40.715584,-74.00304,1
40.73675,-73.87768,3
40.6981,-73.92517,2
40.904358,-73.89642,-1
40.683765,-73.987,2
40.73351,-73.75989,-1
40.84797,-73.924774,1
40.835808,-73.949455,1
40.681774,-73.9436,2
40.770527,-73.98012,1
40.69549,-73.89301,2
40.678978,-73.97378,2
40.68313,-73.979195,2
40.68459,-73.97017,2
40.87224,-73.86483,1
40.881355,-73.900055,1
40.61959,-73.96792,2
40.63642,-73.970085,2
40.71005,-73.76616,-1
40.707943,-73.95417,2
40.644096,-73.970184,2
40.63836,-73.94534,2
40.65055,-73.9351,2
40.68704,-73.84301,5
40.64644,-73.927864,2
40.835052,-73.92615,1
40.78613,-73.80215,-1
40.594982,-73.76955,-1
40.802204,-73.967804,1
40.85855,-73.8926,1
40.69815,-73.78634,5
40.64137,-73.87729,-1
40.754974,-73.976524,1
40.749126,-73.887054,3
40.78482,-73.8477,-1
40.743168,-73.70952,-1
40.629986,-73.97157,2
40.576862,-73.85937,-1
40.846413,-73.90005,1
40.811653,-73.91685,1
40.65019,-73.89107,2
40.702908,-73.94674,2
40.699852,-73.902725,2
40.775562,-73.95035,1
40.862297,-73.90912,1
40.84125,-73.9094,1
40.86278,-73.90127,1
40.63844,-73.9658,2
40.729755,-74.00217,1
40.709175,-73.91426,2
40.80295,-73.96567,1
40.806744,-73.95097,1
40.71626,-73.830734,5
40.730553,-73.84142,-1
40.758583,-73.919334,3
40.70712,-73.94656,2
40.611977,-73.91273,-1
40.66523,-73.765884,5
40.704853,-73.791664,5
40.677853,-73.96881,2
40.634914,-73.99497,2
40.621433,-73.987854,2
40.64336,-73.94686,2
40.711693,-73.95124,2
40.705425,-73.78258,5
40.647213,-73.98099,2
40.6017,-73.97342,2
40.616425,-73.94688,2
40.80075,-73.93871,1
40.615337,-73.94008,2
40.60974,-73.94468,2
40.808533,-73.9591,1
40.613865,-73.90734,-1
40.70739,-73.95054,2
40.76021,-73.87675,3
40.678257,-73.81522,5
40.755657,-73.86244,3
40.680805,-73.76389,-1
40.701973,-73.77952,5
40.62718,-73.98555,2
40.838375,-73.871506,1
40.789314,-73.84188,-1
40.632126,-73.918625,2
40.603004,-74.00611,2
40.75998,-73.72388,-1
40.711006,-74.003624,1
40.621906,-73.94668,2
40.8325,-73.92811,1
40.806705,-73.96486,1
40.819748,-73.95825,1
40.59938,-73.95141,-1
40.845604,-73.93701,1
40.76864,-73.89249,3
40.691307,-73.9955,2
40.7206,-73.99395,1
40.742146,-73.76501,-1
40.724495,-73.72775,-1
40.691998,-73.83269,5
40.81062,-73.92472,1
40.73949,-73.8369,3
40.614414,-73.94713,2
40.726402,-73.900345,3
40.6817,-73.98013,2
40.78694,-73.808365,-1
40.86469,-73.89959,1
40.774166,-73.9031,3
40.69044,-73.754585,-1
40.64705,-73.897995,2
40.800716,-73.964264,1
40.755405,-73.97949,1
40.74058,-73.978935,1
40.722073,-73.86712,-1
40.68124,-73.851326,5
40.75613,-73.86226,3
40.654236,-73.96352,2
40.743324,-73.984085,1
40.66961,-73.88861,2
40.656693,-73.89464,2
40.778183,-73.948425,1
40.701263,-73.814384,5
40.7619,-73.913315,3
40.706852,-73.814575,5
40.807266,-73.93744,1
40.663548,-73.93319,2
40.682537,-73.80716,5
40.651115,-73.9436,2
40.834167,-73.92779,1
40.70887,-73.81871,5
40.873272,-73.90067,1
40.801754,-73.93121,1
40.63367,-73.99141,2
40.85115,-73.88694,1
40.74405,-73.9896,1
40.63799,-74.07762,-1
40.598396,-73.96558,2
40.76122,-73.93056,3
40.581734,-74.158134,-1
40.772987,-73.9164,3
40.667236,-73.770004,5
40.68828,-73.965294,2
40.686394,-73.782455,-1
40.868774,-73.91336,1
40.646458,-74.0893,-1
40.589108,-73.80101,-1
40.7572,-73.86088,3
40.708866,-73.906265,2
40.760525,-73.97998,1
40.586025,-73.8227,-1
40.614666,-74.0133,-1
40.789055,-73.940506,1
40.75635,-74.00541,1
40.6078,-73.945244,2
40.69875,-73.9834,2
40.640697,-73.975685,2
40.845665,-73.9346,1
40.736996,-73.9312,3
40.8469,-73.9318,1
40.655178,-73.892426,2
40.801483,-73.956345,1
40.671383,-73.97454,2
40.712612,-73.93446,2
40.7265,-73.95453,2
40.69601,-73.97345,2
40.72023,-73.776054,-1
40.764378,-73.94099,3
40.767704,-73.92501,3
40.813377,-73.84673,-1
40.761684,-73.90192,3
40.7304,-73.815056,-1
40.63395,-73.92653,2
40.677395,-73.89897,2
40.676594,-73.91556,2
40.712193,-73.8093,5
40.704937,-74.00893,1
40.75682,-73.87355,3
40.751957,-73.93475,3
40.60595,-74.07601,-1
40.88095,-73.8643,1
40.688496,-73.8548,5
40.630096,-73.96814,2
40.710396,-73.96469,2
40.7084,-73.75166,-1
40.61915,-73.97187,-1
40.71302,-73.959305,2
40.574093,-74.1192,-1
40.659473,-74.00244,2
40.84022,-73.873276,1
40.75337,-73.974655,1
40.846878,-73.920616,1
40.882946,-73.85978,1
40.646706,-73.94723,2
40.63882,-73.95405,2
40.74489,-74.00518,1
40.69461,-73.79349,5
40.59506,-73.927605,-1
40.71004,-73.953224,2
40.704212,-74.011566,1
40.67953,-73.750854,-1
40.582508,-73.96211,2
40.81361,-73.913345,1
40.705547,-73.81044,5
40.75322,-73.86868,3
40.71603,-73.82359,5
40.703213,-73.90133,2
40.59896,-73.95518,-1
40.754368,-73.99558,1
